data.programNumber,value_assistanceUsage
11.474,Business/Commerce
14.874,Housing
11.405,Higher Education (includes Research)
11.405,Training
11.405,Science and Technology
11.016,Libraries/lnformation/Statistics
11.616,Science and Technology
11.028,Community Development (includes Federal surplus property)
11.028,Communications
14.188,Housing
11.419,"Natural Resources (mineral, water, wildlife, land)"
11.419,Regional Development
11.804,Economic Development
11.804,Business/Commerce
11.805,Economic Development
11.805,Business/Commerce
11.802,Economic Development
11.802,Business/Commerce
12.340,Science and Technology
87.052,Economic Development
87.052,"Environment (water, air, solid waste, pesticides, radiation)"
87.052,"Natural Resources (mineral, water, wildlife, land)"
11.017,"Environment (water, air, solid waste, pesticides, radiation)"
11.017,Maritime
11.017,"Natural Resources (mineral, water, wildlife, land)"
11.017,Planning
11.017,Science and Technology
11.017,Training
14.865,Housing
11.031,Communications
11.031,Economic Development
11.452,Higher Education (includes Research)
11.452,"Natural Resources (mineral, water, wildlife, land)"
11.452,Science and Technology
59.069,Economic Development
59.069,Training
11.438,"Natural Resources (mineral, water, wildlife, land)"
11.415,Agriculture/Forestry/Fish and Game
11.415,Maritime
11.415,Construction/Renewal/Rehabilitation
11.439,"Natural Resources (mineral, water, wildlife, land)"
59.052,Business/Commerce
11.601,Libraries/lnformation/Statistics
11.400,Libraries/lnformation/Statistics
11.604,Libraries/lnformation/Statistics
11.482,"Environment (water, air, solid waste, pesticides, radiation)"
11.482,"Natural Resources (mineral, water, wildlife, land)"
11.472,"Natural Resources (mineral, water, wildlife, land)"
11.408,Agriculture/Forestry/Fish and Game
11.408,Business/Commerce
16.587,Income Security/Social Service/Welfare
16.587,"Law, Justice, and Legal Services"
16.589,Income Security/Social Service/Welfare
16.589,"Law, Justice, and Legal Services"
16.528,Income Security/Social Service/Welfare
16.528,"Law, Justice, and Legal Services"
16.528,Training
16.557,Income Security/Social Service/Welfare
16.557,"Law, Justice, and Legal Services"
16.557,Training
16.524,"Law, Justice, and Legal Services"
16.556,"Law, Justice, and Legal Services"
16.556,Training
16.023,Income Security/Social Service/Welfare
16.024,Income Security/Social Service/Welfare
16.026,Science and Technology
16.016,Income Security/Social Service/Welfare
16.016,"Law, Justice, and Legal Services"
16.017,Income Security/Social Service/Welfare
16.017,"Law, Justice, and Legal Services"
16.021,"Law, Justice, and Legal Services"
16.021,Planning
16.021,Training
10.525,Agriculture/Forestry/Fish and Game
10.243,Agriculture/Forestry/Fish and Game
10.304,Agriculture/Forestry/Fish and Game
10.239,"Environment (water, air, solid waste, pesticides, radiation)"
97.029,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
14.900,Housing
39.003,Community Development (includes Federal surplus property)
32.006,Communications
32.006,Health/Medical
14.901,Housing
32.003,Communications
14.920,Construction/Renewal/Rehabilitation
14.920,"Environment (water, air, solid waste, pesticides, radiation)"
10.231,Higher Education (includes Research)
14.881,Housing
14.241,Housing
10.383,Construction/Renewal/Rehabilitation
10.312,Higher Education (includes Research)
10.312,Agriculture/Forestry/Fish and Game
10.312,"Natural Resources (mineral, water, wildlife, land)"
10.312,Science and Technology
10.312,Business/Commerce
10.982,No Functional Application/Unlimited Application
39.007,Community Development (includes Federal surplus property)
16.052,"Law, Justice, and Legal Services"
11.999,Higher Education (includes Research)
11.999,"Natural Resources (mineral, water, wildlife, land)"
16.588,Income Security/Social Service/Welfare
16.588,"Law, Justice, and Legal Services"
16.526,"Law, Justice, and Legal Services"
16.526,Training
45.031,Culture/Arts/Humanities
45.031,Training
45.311,Culture/Arts/Humanities
45.311,Elementary/Secondary Education
45.311,Higher Education (includes Research)
45.311,Libraries/lnformation/Statistics
45.311,Planning
45.311,Training
45.311,Vocational Education
45.311,Youth Development
16.525,"Law, Justice, and Legal Services"
16.019,"Law, Justice, and Legal Services"
16.590,"Law, Justice, and Legal Services"
16.590,Training
16.029,Income Security/Social Service/Welfare
16.029,"Law, Justice, and Legal Services"
16.029,Training
16.025,"Law, Justice, and Legal Services"
96.001,Income Security/Social Service/Welfare
96.001,Vocational Rehabilitation
96.006,Income Security/Social Service/Welfare
85.002,Economic Development
85.002,Energy
85.002,"Environment (water, air, solid waste, pesticides, radiation)"
85.002,Food and Nutrition
85.002,Health/Medical
85.002,Housing
85.002,Agriculture/Forestry/Fish and Game
85.002,"Law, Justice, and Legal Services"
85.002,Libraries/lnformation/Statistics
85.002,Regional Development
85.002,Business/Commerce
85.002,Transportation
85.002,Training
85.002,Communications
85.002,Community Development (includes Federal surplus property)
85.002,Construction/Renewal/Rehabilitation
96.004,Income Security/Social Service/Welfare
96.002,Income Security/Social Service/Welfare
96.020,Income Security/Social Service/Welfare
15.098,No Functional Application/Unlimited Application
14.134,Housing
14.893,Housing
14.893,Training
14.126,Housing
14.537,"Law, Justice, and Legal Services"
14.537,Housing
10.417,Agriculture/Forestry/Fish and Game
16.736,Housing
16.736,Income Security/Social Service/Welfare
16.889,Income Security/Social Service/Welfare
16.888,"Law, Justice, and Legal Services"
39.002,Community Development (includes Federal surplus property)
16.028,Training
16.027,"Law, Justice, and Legal Services"
16.027,Training
93.558,Income Security/Social Service/Welfare
59.044,Business/Commerce
10.585,Food and Nutrition
10.585,Higher Education (includes Research)
21.017,Elementary/Secondary Education
21.017,Health/Medical
21.017,Housing
21.017,Income Security/Social Service/Welfare
21.017,Vocational Education
21.017,Youth Development
21.026,Housing
21.026,Income Security/Social Service/Welfare
11.617,Business/Commerce
59.059,Economic Development
59.059,Elementary/Secondary Education
59.059,Energy
59.059,"Environment (water, air, solid waste, pesticides, radiation)"
59.059,Food and Nutrition
59.059,Health/Medical
59.059,Higher Education (includes Research)
59.059,Housing
59.059,Income Security/Social Service/Welfare
59.059,Agriculture/Forestry/Fish and Game
59.059,International (includes Export/lmport)
59.059,"Law, Justice, and Legal Services"
59.059,Libraries/lnformation/Statistics
59.059,Maritime
59.059,"Natural Resources (mineral, water, wildlife, land)"
59.059,Planning
59.059,Public Works
59.059,Recreation (includes Historic Preservation)
59.059,Regional Development
59.059,Science and Technology
59.059,Business/Commerce
59.059,Transportation
59.059,Training
59.059,Youth Development
59.059,Vocational Education
59.059,Vocational Rehabilitation
59.059,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
59.059,Communications
59.059,Community Development (includes Federal surplus property)
59.059,Construction/Renewal/Rehabilitation
59.059,Culture/Arts/Humanities
11.611,Economic Development
11.611,Regional Development
11.611,Business/Commerce
66.615,Agriculture/Forestry/Fish and Game
66.615,Communications
66.615,Community Development (includes Federal surplus property)
66.615,Construction/Renewal/Rehabilitation
66.615,Culture/Arts/Humanities
66.615,Elementary/Secondary Education
66.615,Employment/Labor/Management
66.615,Energy
66.615,"Environment (water, air, solid waste, pesticides, radiation)"
66.615,Food and Nutrition
66.615,Health/Medical
66.615,Housing
66.615,Planning
66.615,Public Works
66.615,Recreation (includes Historic Preservation)
66.615,Science and Technology
66.615,Training
66.615,Youth Development
59.065,Business/Commerce
59.043,Business/Commerce
59.043,Training
59.077,Business/Commerce
21.027,No Functional Application/Unlimited Application
59.026,Economic Development
59.037,Business/Commerce
59.037,Training
59.076,Business/Commerce
59.050,Business/Commerce
66.717,"Environment (water, air, solid waste, pesticides, radiation)"
66.717,Science and Technology
21.008,"Law, Justice, and Legal Services"
59.066,Economic Development
59.066,Vocational Education
59.058,Economic Development
59.058,Higher Education (includes Research)
59.058,Science and Technology
59.058,Business/Commerce
59.058,Training
59.011,Business/Commerce
59.016,Business/Commerce
43.014,Youth Development
43.014,Science and Technology
43.014,Training
43.014,Higher Education (includes Research)
11.037,Construction/Renewal/Rehabilitation
11.037,Economic Development
11.037,Employment/Labor/Management
11.037,Science and Technology
11.037,Business/Commerce
93.594,Income Security/Social Service/Welfare
66.202,"Environment (water, air, solid waste, pesticides, radiation)"
66.202,Science and Technology
66.202,Training
66.509,"Environment (water, air, solid waste, pesticides, radiation)"
66.509,Higher Education (includes Research)
66.509,Science and Technology
10.331,Food and Nutrition
10.331,Health/Medical
10.331,Agriculture/Forestry/Fish and Game
10.331,Regional Development
10.331,Science and Technology
10.331,Business/Commerce
10.331,Community Development (includes Federal surplus property)
66.309,"Environment (water, air, solid waste, pesticides, radiation)"
66.309,Community Development (includes Federal surplus property)
66.309,Economic Development
66.309,Planning
66.309,Training
66.508,"Environment (water, air, solid waste, pesticides, radiation)"
66.604,"Environment (water, air, solid waste, pesticides, radiation)"
66.604,Agriculture/Forestry/Fish and Game
66.604,Civil Defense/Disaster Prevention and Relief/Emergency Preparedness
66.604,Communications
66.604,Community Development (includes Federal surplus property)
66.604,Economic Development
66.604,Elementary/Secondary Education
66.604,Employment/Labor/Management
66.604,Energy
66.604,Food and Nutrition
66.604,Health/Medical
66.604,Housing
66.604,Training
66.604,Youth Development
10.931,Agriculture/Forestry/Fish and Game
10.931,"Natural Resources (mineral, water, wildlife, land)"
21.018,Employment/Labor/Management
77.008,Higher Education (includes Research)
77.008,Science and Technology
16.529,Income Security/Social Service/Welfare
16.529,"Law, Justice, and Legal Services"
21.028,Employment/Labor/Management
93.462,Health/Medical
64.125,Income Security/Social Service/Welfare
11.610,International (includes Export/lmport)
11.610,Libraries/lnformation/Statistics
93.893,Economic Development
93.893,Health/Medical
93.893,Planning
93.893,Science and Technology
93.893,Transportation
93.893,Training
93.893,Vocational Education
93.893,Communications
93.893,Consumer Protection
93.851,Libraries/lnformation/Statistics
93.054,Health/Medical
93.054,Income Security/Social Service/Welfare
93.413,Health/Medical
93.413,Consumer Protection
93.041,Income Security/Social Service/Welfare
93.071,Health/Medical
93.432,Vocational Education
93.432,Vocational Rehabilitation
93.045,Food and Nutrition
93.045,Health/Medical
93.045,Income Security/Social Service/Welfare
93.044,Income Security/Social Service/Welfare
93.044,Planning
93.053,Health/Medical
93.843,Training
93.618,Health/Medical
93.698,Income Security/Social Service/Welfare
93.630,No Functional Application/Unlimited Application
93.873,Health/Medical
93.747,Health/Medical
93.369,Vocational Education
93.369,Vocational Rehabilitation
66.312,"Environment (water, air, solid waste, pesticides, radiation)"
64.205,No Functional Application/Unlimited Application
14.912,Housing
14.906,"Environment (water, air, solid waste, pesticides, radiation)"
14.905,Housing
14.913,Housing
85.400,Higher Education (includes Research)
93.332,Health/Medical
85.401,Higher Education (includes Research)
85.402,Higher Education (includes Research)
93.052,Health/Medical
11.032,Communications
11.032,Community Development (includes Federal surplus property)
11.032,Economic Development
11.032,Health/Medical
11.032,Regional Development
14.536,Higher Education (includes Research)
14.536,Planning
14.536,Science and Technology
14.921,Housing
14.921,Training
14.921,Construction/Renewal/Rehabilitation
45.310,Libraries/lnformation/Statistics
45.310,Culture/Arts/Humanities
14.506,Housing
90.003,Economic Development
90.003,Energy
90.003,"Environment (water, air, solid waste, pesticides, radiation)"
90.003,Health/Medical
90.003,Housing
90.003,Transportation
90.003,Training
93.640,Health/Medical
93.691,Health/Medical
93.835,Health/Medical
93.983,Health/Medical
93.826,Health/Medical
93.826,Science and Technology
10.980,Agriculture/Forestry/Fish and Game
93.423,Income Security/Social Service/Welfare
10.148,Agriculture/Forestry/Fish and Game
20.708,Employment/Labor/Management
20.708,Energy
20.708,"Environment (water, air, solid waste, pesticides, radiation)"
20.708,Transportation
