data.programNumber,value
15.817,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
15.817,Federally Recognized lndian Tribal Governments
15.817,U.S. Territories and possessions
15.817,U.S. Territories and possessions (includes institutions of higher education and hospitals)
15.817,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
15.817,State
15.812,"Specialized group (e.g. health professionals, students, veterans)"
15.978,Federal
15.978,Interstate
15.978,Intrastate
15.978,"State (includes District of Columbia, public institutions of higher education and hospitals)"
15.978,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
15.978,Sponsored organization
15.978,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
15.818,"State (includes District of Columbia, public institutions of higher education and hospitals)"
15.818,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
15.818,Other public institution/organization
15.818,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
15.818,State
12.333,U.S. Territories and possessions
12.333,Government - General
12.333,Federal
12.333,Interstate
12.333,Intrastate
12.333,State
12.333,"State (includes District of Columbia, public institutions of higher education and hospitals)"
12.333,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
12.333,Sponsored organization
15.814,"State (includes District of Columbia, public institutions of higher education and hospitals)"
15.810,"State (includes District of Columbia, public institutions of higher education and hospitals)"
15.805,"State (includes District of Columbia, public institutions of higher education and hospitals)"
15.805,U.S. Territories and possessions (includes institutions of higher education and hospitals)
16.058,State
16.058,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
16.058,U.S. Territories and possessions (includes institutions of higher education and hospitals)
16.058,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
16.057,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
15.441,"State (includes District of Columbia, public institutions of higher education and hospitals)"
15.441,State
15.441,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
15.422,"Specialized group (e.g. health professionals, students, veterans)"
15.421,"State (includes District of Columbia, public institutions of higher education and hospitals)"
12.440,"Specialized group (e.g. health professionals, students, veterans)"
12.369,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
12.369,Other public institution/organization
12.369,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
12.369,Other private institutions/organizations
12.558,Other public institution/organization
15.875,U.S. Territories and possessions (includes institutions of higher education and hospitals)
15.875,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
15.875,"State (includes District of Columbia, public institutions of higher education and hospitals)"
15.875,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
15.671,Federal
15.671,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
15.671,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
15.671,Individual/Family
